Generation,Indiv,Father,Mother,gvNormUnres1,EBV
1,1,0,0,-0.4869065875,-0.333509687387124
1,2,0,0,0.1709103902,0.661268448792576
1,3,0,0,-0.2622201974,-0.546093242074226
1,4,0,0,0.8108707957,0.242867974408881
1,5,0,0,0.4598568951,0.72524788445657
1,6,0,0,-0.4922480142,-1.02662323332168
1,7,0,0,-1.2272267876,-0.820927308371435
1,8,0,0,0.9913193,0.817558053761029
1,9,0,0,-0.2147196901,-0.29591204014145
1,10,0,0,-0.1304181542,0.0057308422533332
1,11,0,0,-0.5384273091,-0.722819112645311
1,12,0,0,-0.1994317677,-0.876079266396601
1,13,0,0,0.0347247713,-0.29093485234252
1,14,0,0,0.2347176452,1.05996237307662
1,15,0,0,-0.0977242958,-0.805727775193935
1,16,0,0,-0.651793568,0.170922950819669
1,17,0,0,-0.6008068148,-0.269415578340689
1,18,0,0,0.3602578232,0.40256212431371
1,19,0,0,0.5829343934,0.14822289096751
1,20,0,0,0.1040005708,0.530296799154956
1,21,0,0,0.8100848184,0.0157946958227302
1,22,0,0,0.9053396792,0.952364955646423
1,23,0,0,-0.1615509489,0.58856253607485
1,24,0,0,-0.3377558384,0.489750766185216
1,25,0,0,0.1960665209,0.431578948289167
1,26,0,0,0.1339254756,0.403976117026969
1,27,0,0,0.2477878897,-0.205802054555318
1,28,0,0,0.0528554881,0.362247834721154
1,29,0,0,-0.6542781375,0.19757741138927
1,30,0,0,-0.5760623166,-0.10084056346603
1,31,0,0,0.8733367476,1.09657081310934
1,32,0,0,-1.1800853087,-1.21188595791828
1,33,0,0,1.2982885855,0.940141903784762
1,34,0,0,-1.8133099025,-2.70317029627663
1,35,0,0,-0.4154460697,-0.274403241517634
1,36,0,0,-0.496397862,-0.777617331505955
1,37,0,0,-0.2148254447,-1.14874028336426
1,38,0,0,-0.142475571,0.322290329509578
1,39,0,0,0.4029752946,1.02183426332312
1,40,0,0,1.8394803672,1.0776309180845
1,41,0,0,0.5932874504,0.969388679981295
