Generation     Indiv    Father    Mother       bvNormUnres1        bvNormRestr1       ddNormUnres1        ddNormRestr1       gvNormUnres1        gvNormRestr1       phenoNormUnres1     phenoNormRestr1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
         1         1         0         0        0.1499011880        0.1584050423        0.0000000000        0.0000000000        0.1499011880        0.1584050423       -0.3796676080       -0.6103784006
         1         2         0         0       -0.8059703144       -0.0758200643        0.0000000000        0.0000000000       -0.8059703144       -0.0758200643       -1.8457354917        0.1065366910
         1         3         0         0        0.0935799367        0.3286205872        0.0000000000        0.0000000000        0.0935799367        0.3286205872       -1.1795675880        0.3031670646
         1         4         0         0        0.7226638856       -0.3741370053        0.0000000000        0.0000000000        0.7226638856       -0.3741370053        0.7269313116        0.0569118591
         1         5         0         0       -0.7453198508       -0.3538654239        0.0000000000        0.0000000000       -0.7453198508       -0.3538654239       -0.1891954146       -0.4509364571
         1         6         0         0       -0.0630821898        0.3168145962        0.0000000000        0.0000000000       -0.0630821898        0.3168145962        0.1609769669        0.3857210758
         1         7         0         0       -0.9721042305       -0.2730957707        0.0000000000        0.0000000000       -0.9721042305       -0.2730957707       -1.2779531846       -0.1741643609
         1         8         0         0       -1.0877029329        0.1968983147        0.0000000000        0.0000000000       -1.0877029329        0.1968983147       -1.6571097907        0.8322485377
         1         9         0         0        0.3133944249       -0.3913098488        0.0000000000        0.0000000000        0.3133944249       -0.3913098488        0.7751775700       -0.0996785557
         1        10         0         0        1.4091344308       -0.1382463009        0.0000000000        0.0000000000        1.4091344308       -0.1382463009        2.3192418901        0.5120784357
         1        11         0         0       -0.1257651706        0.0325253473        0.0000000000        0.0000000000       -0.1257651706        0.0325253473        0.6720129035       -1.0682809340
         1        12         0         0        0.3303829427       -0.1492008024        0.0000000000        0.0000000000        0.3303829427       -0.1492008024        1.2911848245        0.8706459202
         1        13         0         0       -0.0638571607       -0.4243590044        0.0000000000        0.0000000000       -0.0638571607       -0.4243590044       -1.0618672771        0.1434908904
         1        14         0         0       -0.1220450060       -0.4721576428        0.0000000000        0.0000000000       -0.1220450060       -0.4721576428        0.8981282093       -0.6515362751
         1        15         0         0        0.3472782259        0.1764390315        0.0000000000        0.0000000000        0.3472782259        0.1764390315        0.9992530084       -0.6195907477
         1        16         0         0        0.4921090827        0.9875252440        0.0000000000        0.0000000000        0.4921090827        0.9875252440        0.1458680612        0.5402102165
         1        17         0         0        0.0225206167       -0.3612394691        0.0000000000        0.0000000000        0.0225206167       -0.3612394691       -0.2804044092       -0.0732260631
         1        18         0         0       -0.0182851585        0.2468919082        0.0000000000        0.0000000000       -0.0182851585        0.2468919082       -0.1510286191        0.9675113712
         1        19         0         0       -0.0434116991        0.2962807907        0.0000000000        0.0000000000       -0.0434116991        0.2962807907        0.3245853406        0.5975155811
         1        20         0         0       -0.4419627442       -0.5810813291        0.0000000000        0.0000000000       -0.4419627442       -0.5810813291       -0.5076073778        0.1836649286
         1        21         0         0        0.5680898990        0.5515234840        0.0000000000        0.0000000000        0.5680898990        0.5515234840        0.0778170547        0.5629734487
         1        22         0         0       -0.4723972235       -0.1501903192        0.0000000000        0.0000000000       -0.4723972235       -0.1501903192       -0.1671142259        0.1253786610
         1        23         0         0        0.4661872286       -0.2662832906        0.0000000000        0.0000000000        0.4661872286       -0.2662832906        1.0951371729        0.6359031259
         1        24         0         0       -0.5584597896        0.6363065765        0.0000000000        0.0000000000       -0.5584597896        0.6363065765       -0.6383149387        0.8513422857
         1        25         0         0       -0.4443976934       -1.2666491324        0.0000000000        0.0000000000       -0.4443976934       -1.2666491324       -0.4399328666       -2.3954971615
         1        26         0         0        0.3533314971        0.3288471900        0.0000000000        0.0000000000        0.3533314971        0.3288471900        0.4231042948       -0.0351620373
         1        27         0         0        0.5090060752       -0.3638489406        0.0000000000        0.0000000000        0.5090060752       -0.3638489406        0.6390157690        0.0526549413
         1        28         0         0       -0.0907176488       -0.9266050858        0.0000000000        0.0000000000       -0.0907176488       -0.9266050858       -0.0086611328       -0.6692295304
         1        29         0         0       -0.4504960548       -0.4993453631        0.0000000000        0.0000000000       -0.4504960548       -0.4993453631       -1.1930075541       -0.2441216937
         1        30         0         0        0.0081849511        0.2213744733        0.0000000000        0.0000000000        0.0081849511        0.2213744733       -1.6720404009       -0.9155035478
         1        31         0         0        0.2428489820        0.0693332315        0.0000000000        0.0000000000        0.2428489820        0.0693332315        0.4114384018        0.0032460780
         1        32         0         0        0.3226349458       -0.8705117697        0.0000000000        0.0000000000        0.3226349458       -0.8705117697        0.8970972406       -0.3247872471
         1        33         0         0        0.3402786165        0.4812450512        0.0000000000        0.0000000000        0.3402786165        0.4812450512       -0.0325149143        0.7649092249
         1        34         0         0       -0.0340037748       -1.2328944618        0.0000000000        0.0000000000       -0.0340037748       -1.2328944618        0.7415270409       -1.2530052582
         1        35         0         0       -0.6214758370       -0.9895950879        0.0000000000        0.0000000000       -0.6214758370       -0.9895950879        0.1083136587       -1.4917717067
         1        36         0         0        0.0256176005        0.0666240144        0.0000000000        0.0000000000        0.0256176005        0.0666240144        0.2113918229        0.7959330249
         1        37         0         0        0.0279644708       -0.0816679471        0.0000000000        0.0000000000        0.0279644708       -0.0816679471        0.5388812054       -0.3781666031
         1        38         0         0       -0.7725423728        0.0149994258        0.0000000000        0.0000000000       -0.7725423728        0.0149994258       -0.7460070616        0.5002527835
         1        39         0         0       -0.9945077063       -0.3981383569        0.0000000000        0.0000000000       -0.9945077063       -0.3981383569       -1.8021398671       -1.2028159219
         1        40         0         0        0.0035479174        0.2874390226        0.0000000000        0.0000000000        0.0035479174        0.2874390226        0.7006345750        0.8264325104
         1        41         0         0       -0.1760696239       -0.2371639540        0.0000000000        0.0000000000       -0.1760696239       -0.2371639540        0.0716538450       -0.1202846794
         1        42         0         0        0.1375057565        0.4195945997        0.0000000000        0.0000000000        0.1375057565        0.4195945997        1.1338653504        1.7336444699
         1        43         0         0        0.7574181998        0.3888887402        0.0000000000        0.0000000000        0.7574181998        0.3888887402        1.0257766626        0.9555377985
         1        44         0         0       -0.1944007882       -0.1529862075        0.0000000000        0.0000000000       -0.1944007882       -0.1529862075       -0.9317025896       -0.2899292497
         1        45         0         0       -0.4917538715       -0.3415122075        0.0000000000        0.0000000000       -0.4917538715       -0.3415122075       -1.6090561118        0.2636040079
         1        46         0         0       -0.3031389031        0.5699647346        0.0000000000        0.0000000000       -0.3031389031        0.5699647346        1.0221166333        0.3077629332
         1        47         0         0       -0.5178950899        0.1189245910        0.0000000000        0.0000000000       -0.5178950899        0.1189245910        0.3378479108        1.3208666684
         1        48         0         0       -0.4881050566       -0.5254358240        0.0000000000        0.0000000000       -0.4881050566       -0.5254358240        0.2294557672       -1.7478867928
         1        49         0         0        0.0763225734        0.2456750136        0.0000000000        0.0000000000        0.0763225734        0.2456750136        0.0390885614       -0.4524891956
         1        50         0         0       -0.2495505566        0.5455971808        0.0000000000        0.0000000000       -0.2495505566        0.5455971808       -1.3109453424        0.7715324788
         1        51         0         0        0.4084015189       -0.4422260085        0.0000000000        0.0000000000        0.4084015189       -0.4422260085        0.4462146895       -0.0248087779
         1        52         0         0       -0.2285512834        0.6594586780        0.0000000000        0.0000000000       -0.2285512834        0.6594586780       -1.1984655187        0.5306464347
         1        53         0         0       -0.3675535248        0.4591417722        0.0000000000        0.0000000000       -0.3675535248        0.4591417722        0.4083171843       -0.0220886095
         1        54         0         0        0.5185938330       -0.0305637878        0.0000000000        0.0000000000        0.5185938330       -0.0305637878        1.3655506445       -0.1463730346
         1        55         0         0       -0.2749048841       -0.0827293925        0.0000000000        0.0000000000       -0.2749048841       -0.0827293925       -0.0359845632       -0.6454672404
         1        56         0         0       -0.1234253335        0.3168145962        0.0000000000        0.0000000000       -0.1234253335        0.3168145962        0.9362705785        1.7681607936
         1        57         0         0       -0.1496608577        0.6623383529        0.0000000000        0.0000000000       -0.1496608577        0.6623383529        0.1663266818       -0.0003953601
         1        58         0         0       -0.4895431203       -0.2013109346        0.0000000000        0.0000000000       -0.4895431203       -0.2013109346       -0.9327131497        0.5440151647
         1        59         0         0       -0.0051794062        0.0123451464        0.0000000000        0.0000000000       -0.0051794062        0.0123451464        0.4233806058        0.4781935008
         1        60         0         0        0.6049859065       -0.2076826126        0.0000000000        0.0000000000        0.6049859065       -0.2076826126        0.8414601074       -0.1382778143
         1        61         0         0        0.5604283699        0.6824572615        0.0000000000        0.0000000000        0.5604283699        0.6824572615        0.5846203147        0.0885947063
         1        62         0         0       -0.0929532396       -0.0035687778        0.0000000000        0.0000000000       -0.0929532396       -0.0035687778       -0.4173880474        0.1314253295
         1        63         0         0        0.4714776676       -0.2885090422        0.0000000000        0.0000000000        0.4714776676       -0.2885090422        0.3910937200       -0.9253889641
         1        64         0         0       -0.4106433557        0.2117023322        0.0000000000        0.0000000000       -0.4106433557        0.2117023322       -0.1320089041        0.6199399555
         1        65         0         0        0.3847587355       -0.1393036543        0.0000000000        0.0000000000        0.3847587355       -0.1393036543        0.7194352561       -1.0412654049
         1        66         0         0        0.0070776441        0.1816362235        0.0000000000        0.0000000000        0.0070776441        0.1816362235       -0.3852691815        0.5120375331
         1        67         0         0        0.1036325154       -0.1130413536        0.0000000000        0.0000000000        0.1036325154       -0.1130413536       -0.2060771943        0.1231508961
         1        68         0         0        0.8359082982       -0.1809353431        0.0000000000        0.0000000000        0.8359082982       -0.1809353431        1.0720297091       -0.0482412072
