Generation     Indiv    Father    Mother       bvNormUnres1        bvNormRestr1       ddNormUnres1        ddNormRestr1       gvNormUnres1        gvNormRestr1       phenoNormUnres1     phenoNormRestr1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
         1         1         0         0       -0.1272357871        0.1921522743        0.0000000000        0.0000000000       -0.1272357871        0.1921522743       -0.6165764556        0.2109688284
         1         2         0         0       -1.1984042155        0.3696606196        0.0000000000        0.0000000000       -1.1984042155        0.3696606196       -0.6036496056        0.0273573284
         1         3         0         0       -0.1108587524        0.4802005305        0.0000000000        0.0000000000       -0.1108587524        0.4802005305        0.0422088001       -0.3890017082
         1         4         0         0        0.9618797483       -0.2163396641        0.0000000000        0.0000000000        0.9618797483       -0.2163396641        0.6475199322        0.8102263616
         1         5         0         0       -0.3253967319       -0.4288787209        0.0000000000        0.0000000000       -0.3253967319       -0.4288787209        0.8797078107       -1.3148827025
         1         6         0         0       -1.0633599452        0.3900856430        0.0000000000        0.0000000000       -1.0633599452        0.3900856430       -2.2982766994        0.6267413496
         1         7         0         0        0.2655969879        0.4370518168        0.0000000000        0.0000000000        0.2655969879        0.4370518168        0.3797988531       -0.4780628985
         1         8         0         0        0.3596728490        0.5957926494        0.0000000000        0.0000000000        0.3596728490        0.5957926494        0.5244109243        0.7140330824
         1         9         0         0       -0.0761305719        0.5514074042        0.0000000000        0.0000000000       -0.0761305719        0.5514074042       -1.0058550360        0.8406945767
         1        10         0         0        0.0707935862       -1.1162073889        0.0000000000        0.0000000000        0.0707935862       -1.1162073889       -0.1249062915       -1.0493456279
         1        11         0         0       -0.6835072222       -0.0951978178        0.0000000000        0.0000000000       -0.6835072222       -0.0951978178       -0.5156731550        0.2926466541
         1        12         0         0        0.1922845272       -0.1925731868        0.0000000000        0.0000000000        0.1922845272       -0.1925731868       -0.2993828159       -0.3757487741
         1        13         0         0       -1.1494367226       -0.3897505568        0.0000000000        0.0000000000       -1.1494367226       -0.3897505568       -0.5862151279       -0.5955384806
         1        14         0         0        0.2173278590        1.1004403712        0.0000000000        0.0000000000        0.2173278590        1.1004403712       -1.0065914993        1.5573077269
         1        15         0         0        0.4099708349        0.3352465521        0.0000000000        0.0000000000        0.4099708349        0.3352465521        0.3209384936       -1.0478291882
         1        16         0         0       -0.9371015150       -0.0804185323        0.0000000000        0.0000000000       -0.9371015150       -0.0804185323       -1.4796901600        0.4063669183
         1        17         0         0        0.5100611503        0.2680935622        0.0000000000        0.0000000000        0.5100611503        0.2680935622       -0.2901413389        0.4452622702
         1        18         0         0        0.0072518089       -0.2754823901        0.0000000000        0.0000000000        0.0072518089       -0.2754823901        0.3254327593        0.0905666376
         1        19         0         0        0.5084901061        0.6084777681        0.0000000000        0.0000000000        0.5084901061        0.6084777681        1.2350951363        1.5339593461
         1        20         0         0        0.2594498189       -0.1827798489        0.0000000000        0.0000000000        0.2594498189       -0.1827798489        0.0399634911       -0.1595150868
         1        21         0         0       -0.3299457239        0.1303159631        0.0000000000        0.0000000000       -0.3299457239        0.1303159631       -0.0129944973        0.0590509727
         1        22         0         0       -0.7571342500       -0.0994933034        0.0000000000        0.0000000000       -0.7571342500       -0.0994933034       -0.3052522764        0.3983649860
         1        23         0         0        0.4552129659       -0.0288675414        0.0000000000        0.0000000000        0.4552129659       -0.0288675414        1.7978713109        0.0494039594
         1        24         0         0        0.3428570448        0.4568191439        0.0000000000        0.0000000000        0.3428570448        0.4568191439       -1.7394531977        1.1015141987
         1        25         0         0       -0.3170332528        0.0685921846        0.0000000000        0.0000000000       -0.3170332528        0.0685921846        0.8585242047       -0.7247109578
         1        26         0         0       -0.3106462117       -0.4529910400        0.0000000000        0.0000000000       -0.3106462117       -0.4529910400        1.0710495496        0.9676736743
         1        27         0         0        0.7201278779       -0.3908990239        0.0000000000        0.0000000000        0.7201278779       -0.3908990239        0.6437429039        0.3128403883
         1        28         0         0       -0.1139905760        0.1640842370        0.0000000000        0.0000000000       -0.1139905760        0.1640842370       -0.9056810315        0.1275357591
         1        29         0         0        0.5614951018       -0.0737571949        0.0000000000        0.0000000000        0.5614951018       -0.0737571949        0.8967018711       -1.9057105315
         1        30         0         0        0.3663429638        0.6548941564        0.0000000000        0.0000000000        0.3663429638        0.6548941564        0.3017813629        0.4177805173
         1        31         0         0       -0.9234471496       -0.0542813251        0.0000000000        0.0000000000       -0.9234471496       -0.0542813251       -1.0644972507       -0.6173704779
         1        32         0         0        0.2070594433        0.3647704200        0.0000000000        0.0000000000        0.2070594433        0.3647704200        0.8422297068       -0.1432359408
         1        33         0         0        0.3924978060       -0.3155384768        0.0000000000        0.0000000000        0.3924978060       -0.3155384768       -1.0311599944       -1.1142818293
         1        34         0         0       -0.8769677422        0.0792146366        0.0000000000        0.0000000000       -0.8769677422        0.0792146366        0.2633641118       -0.8696511561
         1        35         0         0       -0.1661385186        0.7665084018        0.0000000000        0.0000000000       -0.1661385186        0.7665084018        0.1473238511        1.4991392116
         1        36         0         0        0.0329797813        0.5881317048        0.0000000000        0.0000000000        0.0329797813        0.5881317048        1.6851885686        0.3793454433
         1        37         0         0       -0.4951270354       -0.0664319718        0.0000000000        0.0000000000       -0.4951270354       -0.0664319718       -0.1204888064        1.7232125638
         1        38         0         0        0.1018264033       -0.0420857044        0.0000000000        0.0000000000        0.1018264033       -0.0420857044       -0.0469079112        0.6438670139
         1        39         0         0       -0.7186758676        0.5371471805        0.0000000000        0.0000000000       -0.7186758676        0.5371471805        0.6338724016       -0.2163893313
         1        40         0         0       -0.7786203367        0.0007497824        0.0000000000        0.0000000000       -0.7786203367        0.0007497824       -1.5762170406       -0.2273968662
         1        41         0         0        0.9760917534       -0.4674170184        0.0000000000        0.0000000000        0.9760917534       -0.4674170184        1.6389819376       -0.0527921795
         1        42         0         0        0.3625548346        0.6965268749        0.0000000000        0.0000000000        0.3625548346        0.6965268749       -0.0578176010        0.1703212842
         1        43         0         0        0.1029248621       -0.1477602842        0.0000000000        0.0000000000        0.1029248621       -0.1477602842       -0.0695694280       -0.3537697845
         1        44         0         0        0.3932980800       -0.0844657730        0.0000000000        0.0000000000        0.3932980800       -0.0844657730        1.1165657581        0.7361763896
         1        45         0         0        0.2842716962        0.6539612307        0.0000000000        0.0000000000        0.2842716962        0.6539612307        1.5673673289        1.2836648529
         1        46         0         0        0.5089365425        0.6133360779        0.0000000000        0.0000000000        0.5089365425        0.6133360779       -0.1239500670        0.6214741540
         1        47         0         0       -1.1744357816       -0.3090247179        0.0000000000        0.0000000000       -1.1744357816       -0.3090247179       -2.1523340193       -0.6426489331
         1        48         0         0       -0.7988605363       -0.5586509911        0.0000000000        0.0000000000       -0.7988605363       -0.5586509911       -0.8457087196        0.0570398402
         1        49         0         0       -0.4286989524       -0.2877525848        0.0000000000        0.0000000000       -0.4286989524       -0.2877525848       -0.5578951547       -0.1679119030
         1        50         0         0       -0.2296302462       -0.0687671810        0.0000000000        0.0000000000       -0.2296302462       -0.0687671810       -1.1071170303       -1.1978220879
         1        51         0         0       -0.3642149699       -0.4310757506        0.0000000000        0.0000000000       -0.3642149699       -0.4310757506       -1.9841551362       -0.7486736004
         1        52         0         0        0.0273509256       -0.5243380120        0.0000000000        0.0000000000        0.0273509256       -0.5243380120        0.1185927723       -0.4187733372
         1        53         0         0       -0.0793907994       -0.9490302858        0.0000000000        0.0000000000       -0.0793907994       -0.9490302858        0.2717453183       -0.7377979865
         1        54         0         0       -0.0323052296       -1.0386628473        0.0000000000        0.0000000000       -0.0323052296       -1.0386628473        0.9911868614       -1.5086537772
         1        55         0         0       -0.5636311895       -0.1343824350        0.0000000000        0.0000000000       -0.5636311895       -0.1343824350       -1.1634619179       -0.5750750840
         1        56         0         0        0.3954834375        0.7702380575        0.0000000000        0.0000000000        0.3954834375        0.7702380575       -0.6504901986        1.2457330209
         1        57         0         0       -0.0233624735        0.0474006780        0.0000000000        0.0000000000       -0.0233624735        0.0474006780       -0.1363536313       -0.1092289498
         1        58         0         0        1.0391273361        0.0198530943        0.0000000000        0.0000000000        1.0391273361        0.0198530943       -0.4636611310       -0.0056044247
         1        59         0         0       -1.2125507961       -0.0355440182        0.0000000000        0.0000000000       -1.2125507961       -0.0355440182       -0.2098614430       -0.2071499404
         1        60         0         0       -0.4354596108        0.6475482823        0.0000000000        0.0000000000       -0.4354596108        0.6475482823       -0.8303029571        0.2280337181
         1        61         0         0        0.3725545164       -0.4175582058        0.0000000000        0.0000000000        0.3725545164       -0.4175582058        0.8930612667        0.1415214138
         1        62         0         0       -0.0467968387       -0.2466968753        0.0000000000        0.0000000000       -0.0467968387       -0.2466968753        0.8499091916        1.1173615731
         1        63         0         0       -0.9670807814       -0.5238498951        0.0000000000        0.0000000000       -0.9670807814       -0.5238498951       -0.5205501268       -0.7692872560
         1        64         0         0       -0.1655464436        0.3468167055        0.0000000000        0.0000000000       -0.1655464436        0.3468167055        0.2609793266        0.8152597056
         1        65         0         0        0.2207869498        0.2846439855        0.0000000000        0.0000000000        0.2207869498        0.2846439855        0.0535786332        0.8408739493
         1        66         0         0       -0.2236326672        0.0325095184        0.0000000000        0.0000000000       -0.2236326672        0.0325095184       -0.4511250988        0.7332140886
         1        67         0         0        0.6742868287       -0.4260109863        0.0000000000        0.0000000000        0.6742868287       -0.4260109863        0.2491184409       -0.1610115671
         1        68         0         0        0.1465417944       -0.0064607681        0.0000000000        0.0000000000        0.1465417944       -0.0064607681       -0.1299692600       -0.3032872336
         1        69         0         0        0.2393628932        0.1355720998        0.0000000000        0.0000000000        0.2393628932        0.1355720998        0.8788498942        0.4017847312
         1        70         0         0        1.5214855528       -0.0628044106        0.0000000000        0.0000000000        1.5214855528       -0.0628044106        1.7077681674        0.9319094386
         1        71         0         0       -0.0275531536        0.5383892391        0.0000000000        0.0000000000       -0.0275531536        0.5383892391        0.0892348993        0.1114955877
         1        72         0         0        0.0146612784        0.9291744766        0.0000000000        0.0000000000        0.0146612784        0.9291744766        0.0699906916        1.0366241647
         1        73         0         0       -0.4642316084       -0.1256215543        0.0000000000        0.0000000000       -0.4642316084       -0.1256215543        0.1719179988       -0.1154274140
         1        74         0         0        0.1700470278       -0.2537648600        0.0000000000        0.0000000000        0.1700470278       -0.2537648600       -0.3288606762       -0.6214134086
         1        75         0         0        0.9365073952        0.3659012448        0.0000000000        0.0000000000        0.9365073952        0.3659012448        2.0782628293       -0.1427657791
         1        76         0         0        0.2431889318        0.3359619716        0.0000000000        0.0000000000        0.2431889318        0.3359619716       -0.3448651633       -0.0870524405
         1        77         0         0       -0.1225222412       -0.6368194814        0.0000000000        0.0000000000       -0.1225222412       -0.6368194814       -0.2739111021       -0.6107926593
         1        78         0         0       -0.1403771878        0.1875044284        0.0000000000        0.0000000000       -0.1403771878        0.1875044284       -0.5748876145        0.3484448773
         1        79         0         0        0.7441270446       -0.5109309413        0.0000000000        0.0000000000        0.7441270446       -0.5109309413        0.1580153650       -0.0484501144
         1        80         0         0       -0.0483821882       -0.2409410719        0.0000000000        0.0000000000       -0.0483821882       -0.2409410719        1.0937614762        0.8198388012
         1        81         0         0        0.6630891656        0.7252865669        0.0000000000        0.0000000000        0.6630891656        0.7252865669        1.5998607998        0.5713379743
         1        82         0         0       -0.0235064067       -0.0949306780        0.0000000000        0.0000000000       -0.0235064067       -0.0949306780       -0.0662448844       -0.0407443933
         1        83         0         0       -0.3955653616        0.8432978557        0.0000000000        0.0000000000       -0.3955653616        0.8432978557        0.1871864379        2.3572252185
         1        84         0         0       -0.1593726907        0.5708326958        0.0000000000        0.0000000000       -0.1593726907        0.5708326958       -1.2021504978        0.9085342201
         1        85         0         0        0.3792634069        0.3412978393        0.0000000000        0.0000000000        0.3792634069        0.3412978393        1.7953924143       -0.0977115301
         1        86         0         0        0.0607552650        0.4191434619        0.0000000000        0.0000000000        0.0607552650        0.4191434619       -0.1329139575        0.3429696508
         1        87         0         0       -0.0681379905       -1.1066811908        0.0000000000        0.0000000000       -0.0681379905       -1.1066811908       -1.0490206080       -1.5301065202
         1        88         0         0       -0.6914931891       -0.1128931947        0.0000000000        0.0000000000       -0.6914931891       -0.1128931947       -0.0861332711       -0.0631908650
         1        89         0         0        1.1337758671        0.5876764947        0.0000000000        0.0000000000        1.1337758671        0.5876764947        0.6301405835        0.8073283997
         1        90         0         0        0.5197004369        0.5981421236        0.0000000000        0.0000000000        0.5197004369        0.5981421236        0.9695170925        0.8531094697
